,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
629,A-2,Apartment - Medium-Density,Primarily Residential,0.1,False
700,B-1,Business - Neighborhood,Nonresidential,0.1,False
904,R-20,"Residential - 20,000 sf",Primarily Residential,0.1,True
936,A-3,Apartment - High-Density,Primarily Residential,0.2,False
727,B-2,Business - Community,Nonresidential,0.4,False
866,R-7.5,"Residential - 7,500 sf",Primarily Residential,0.7000000000000001,True
598,A-1,Apartment - Low-Density,Primarily Residential,1.3,False
921,R-3.5,"Residential - 3,500 sf",Primarily Residential,2.7,True
788,P-2,Preservation - General,Nonresidential,5.2,False
819,R-10,"Residential - 10,000 sf",Primarily Residential,11.3,True
837,R-5,"Residential - 5,000 sf",Primarily Residential,15.2,True
756,P-1,Preservation - Restricted,Nonresidential,62.6,False
